"additionalInfoDescription1","additionalInfoDescription2","additionalInfoDescription3","additionalInfoDescription4","additionalInfoDescription5","additionalInfoDescription6","additionalInfoTitle1","additionalInfoTitle2","additionalInfoTitle3","additionalInfoTitle4","additionalInfoTitle5","additionalInfoTitle6","collections","customTextCharLimit1","customTextCharLimit2","customTextField1","customTextField2","customTextMandatory1","customTextMandatory2","description","discountMode","discountValue","fieldType","handleIds","inventory","name","price","productImageUrl","productOptionDescription1","productOptionDescription2","productOptionDescription3","productOptionDescription4","productOptionDescription5","productOptionDescription6","productOptionName1","productOptionName2","productOptionName3","productOptionName4","productOptionName5","productOptionName6","productOptionType1","productOptionType2","productOptionType3","productOptionType4","productOptionType5","productOptionType6","ribbon","sku","surcharge","visible","weight"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_1c2d8d50-1528-3431-590f-d365c04f26cb8","InStock","Def Leppard","12.0","a680d7_1ede5346aba74dc9a663a67f03beb1e1~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf0","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf1","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf2","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf3","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf4","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf5","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf6","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf7","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_7c69a35c-7c4d-7752-f9e1-db1f6a0229cf8","InStock","Mickey Mouse Wizard","10.0","a680d7_b84334c29f504d25a633bf570803471b~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
