handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_aae14081-3893-6deb-f67e-f889d9a83730,Product,Fairy Tricksters,<p>Fairy Tricksters to keep you on your feet.&nbsp;</p>,a680d7_2db30ef91a144ba489301050cd13e2b9~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_86b1cb19-1fa9-85e1-1203-91e7b12e2b8d,Product,Fairy Flakes,<p>A dash of pixie dust to make all of your wishes come true!</p>,a680d7_2b9ff35bec4440bc91a2a41bcdb63305~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e906593c-ba9c-33b1-ee27-7e19a13432e5,Product,Tranquility,<p>Magical tranquility with dragonflys and watercolor lotus flowers.</p>,a680d7_f50cc7e77da049018bf022afd16f0b6f~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_46049514-67d0-75af-283a-ac2562fe9e4b,Product,Survival At It's Best,<p>Save the world with this awesome game world print.</p>,a680d7_a8a9b2633a8e4159834c226fe3f5f409~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ed2f3f-b1d6-9f65-0e75-1a91e5fb9c32,Product,Talking Heads,<p>1980 MTV here we come</p>,a680d7_5db70cd573e9453698cda3fa9998482f~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2142e5e2-44a5-88f9-0179-d270d8fdcf90,Product,Walk This Way,<p>Walk This Way.....1980's back at cha</p>,a680d7_0857ab5f068b47be8180adb09ad4405e~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6e6d6113-2de5-bc90-9fe3-ee5e04988f0f,Product,"Boom, Bang, Crash","<p>Boom, bang, crash.....These superheros have your back.</p>",a680d7_950719f4ab5040938e4227918b0ac81a~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_47fcaae3-7b64-7205-67b6-556a8a73d823,Product,Science!!!!,<p>Science! I'm not mad I'm a scientist.</p>,a680d7_fd2cbe3a9edd47eb94f8ee003c7040c2~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8e0d1449-0b81-8dcd-7a36-b6e8ffa88dbf,Product,Don't be an Imposter,<p>&nbsp;Amoung us there are many.....</p>,a680d7_6cba6267488c423d96638dc0462fff90~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1a574fbd-de38-14f2-fd96-337c26c8398f,Product,Oh Dobby Don't Be Sad,<p>Dobby don't be sad we will be your masters.</p>,a680d7_a377d06bb032442eb92a3bbe372f7c20~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_10099e2d-806a-3219-4431-894912a91d79,Product,Chef Rat,<p>This chef rat loves cheese and pizza.&nbsp;</p>,a680d7_b21d14df0b3c41ee8db7e50ba17261b9~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac2f4e66-b3c1-935e-28b4-184ec0bdc0b0,Product,"Lewey, Lewey",<p>Vibrant initials will be recognized by all.</p>,a680d7_218477be63ed4ac5b4fdac4aa102e000~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4615b3d8-4a4b-dbd4-d029-8c4df894dc4e,Product,Gnome fantastic,"<p>We ""Gnome"" you will love this bearded bunny.</p>",a680d7_3415c0e77d0d49daafaff078c98b68ff~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69196f4e-ec50-fe45-2578-4ab8c02accfc,Product,Furry Friends,<p>Furry friends with smiley facial expressions to warm your heart.</p>,a680d7_4d5513422e8f426fa4704998ac85495b~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bad29cb4-730e-1e8c-eb5d-08973aef82e3,Product,Sunflowers and Bee's,<p>Sunflowers and bees to brighten up your day.</p>,a680d7_85396a57275c4ee699d21422d6ad3160~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f4d66b2e-6037-a44b-4e96-671a0179c761,Product,Mosiac,<p>Characters that fill our hearts. Each character is adorned with bright mosiacs from the tales we love.</p>,a680d7_93ecab6bd0f94f599518cebfe38f02e3~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bfae8e66-25cf-1a38-2990-4fe50baf3dc2,Product,Psychedelic Vibes,"<p>Violet, black, greens, oh my! Theses pops of color will enhance your sensory perception and add some positive energy to your life:)</p>",a680d7_5cb5f7b2b02345cb88a368474ad17c66~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_dc819666-3ffd-8607-324c-af23ff03899a,Product,Party Animals by Connie Haley,<p>Need a little color in your life? These vibrant colors will uplift your spirits and get you in the mood for spring!</p>,a680d7_e3e35ba0a648484da1d4af5d7a131552~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
